"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"03-08 17:43:35.004","IEP","Blocktrade","53.9","5.0K","269.5K","AtAsk","Industrials","5000"
"03-08 17:43:10.029","EFA","Blocktrade","69.9","30.8K","2.15M","AtAsk","N/A","30802"
"03-08 17:42:33.670","TSLA","Blocktrade","182.02","1.75K","319.45K","AtBid","Consumer Cyclical","1755"
"03-08 17:38:42.899","C","Blocktrade","50.68","10.0K","506.8K","AtBid","Financial","10000"
"03-08 17:38:35.209","SIVB","Blocktrade","245","6.65K","1.63M","AtBid","Financial","6653"
"03-08 17:38:11.521","FTV","Blocktrade","67.15","6.86K","460.65K","AtBid","Technology","6860"
"03-08 17:38:11.191","ITA","Blocktrade","116.11","2.87K","332.66K","AtAsk","N/A","2865"
"03-08 17:38:11.181","CHTR","Blocktrade","353.87","1.78K","628.47K","AtBid","Communication Services","1776"
"03-08 17:38:11.145","CMCSA","Blocktrade","35.9","90.44K","3.25M","AtBid","Communication Services","90445"
"03-08 17:38:11.052","YUM","Blocktrade","126.78","5.04K","639.22K","AtBid","Consumer Cyclical","5042"
"03-08 17:38:10.940","MELI","Blocktrade","1252.57","1.43K","1.79M","AtBid","Consumer Cyclical","1427"
"03-08 17:38:10.931","KKR","Blocktrade","57","9.41K","536.43K","NoMatch","Financial","9411"
"03-08 17:38:10.894","ZBH","Blocktrade","121.91","23.9K","2.91M","AtBid","Healthcare","23899"
"03-08 17:38:10.892","PANW","Blocktrade","188.38","12.9K","2.43M","AtBid","Technology","12903"
"03-08 17:38:10.836","WMT","Blocktrade","138.1","20.67K","2.85M","AtBid","Consumer Defensive","20672"
"03-08 17:38:10.801","SQ","Blocktrade","77.95","6.76K","527.33K","AtAsk","Technology","6765"
"03-08 17:38:10.695","SMH","Blocktrade","246.35","2.91K","717.62K","AtAsk","Financial","2913"
"03-08 17:38:10.672","SPLK","Blocktrade","99.63","4.76K","474.54K","AtBid","Technology","4763"
"03-08 17:35:22.043","CRWD","Blocktrade","128.92","2.19K","281.69K","AtAsk","Technology","2185"
"03-08 17:35:22.038","DVN","Blocktrade","54.5","4.8K","261.71K","AtAsk","Energy","4802"
"03-08 17:35:22.038","CVX","Blocktrade","162.99","2.64K","430.13K","AtAsk","Energy","2639"
"03-08 17:35:22.020","UNH","Blocktrade","470.6","3.44K","1.62M","AtBid","Healthcare","3442"
"03-08 17:35:22.018","UAL","Blocktrade","54.26","13.63K","739.78K","AtAsk","Industrials","13634"
"03-08 17:35:22.017","XOM","Blocktrade","109.98","4.09K","449.6K","AtAsk","Energy","4088"
"03-08 17:34:38.448","BIL","Blocktrade","91.54","37.12K","3.4M","AtAsk","N/A","37115"
"03-08 17:34:37.649","INSW","Blocktrade","51.37","73.88K","3.8M","AtBid","Industrials","73883"
