"Symb","Proportion","Orders","Buys","AtAsk","AtBid","NetPrems","PremsChng","AvgExpD","OTM%","OTMScore","Unusual%","SpotChng","Ivol%"
"QQQ","37%","738","53.3","75.49M","37.02M","38.47M","100.0%","15.6","53.3%","0.9","0.9","0","30.68"
"TSLA","67%","4227","54.0","339.53M","311.78M","27.75M","-99.1%","30.4","53.4%","4.1","1.0","0","75.6"
"VIX","71%","184","54.3","17.00M","7.17M","9.84M","-765.4%","54.1","53.8%","39.8","1.4","0","96.39"
"SPY","44%","2296","52.8","94.23M","86.85M","7.38M","-130.2%","11.7","52.8%","0.4","0.9","0","24.65"
"NVDA","58%","731","53.4","44.00M","38.15M","5.85M","-29.5%","30.4","53.1%","3.4","1.0","0","60.99"
"META","54%","138","55.1","8.83M","5.22M","3.61M","30.6%","49.1","52.9%","4.2","0.3","0","45.33"
"MS","60%","15","66.7","2.60M","228.40K","2.37M","100.0%","92.1","66.7%","0.2","1.3","0","28.36"
"MU","49%","30","53.3","2.48M","924.07K","1.55M","-430.2%","134.8","53.3%","9.2","1.2","0","40.48"
"SQQQ","87%","87","52.9","4.32M","2.84M","1.48M","-78.8%","42.3","50.6%","2","0.7","0","84.17"
"NFLX","62%","86","59.3","3.58M","2.12M","1.47M","38.3%","36.9","59.3%","8.9","0.6","0","42.03"
"BAC","63%","31","67.7","1.95M","502.70K","1.45M","-81.3%","129.0","67.7%","0.4","0.9","0","25.74"
"PLTR","89%","93","68.8","3.31M","1.92M","1.39M","-1255.8%","229.6","61.3%","18.3","5.4","0","68.48"
"CRM","69%","27","66.7","1.97M","578.23K","1.39M","100.0%","26.3","66.7%","1.6","0.8","0","38.77"
"BABA","61%","57","56.1","3.11M","1.87M","1.24M","100.0%","54.3","56.1%","9.4","0.5","0","50.99"
"UPST","51%","24","70.8","1.63M","448.11K","1.18M","100.0%","29.0","70.8%","14.6","1.6","0","253.74"
"SMH","57%","23","87.0","1.36M","178.14K","1.18M","100.0%","63.3","87.0%","10.1","2.8","0","33.53"
"SLV","88%","22","77.3","1.42M","354.70K","1.07M","-61.6%","248.3","77.3%","11.8","0.8","0","30.3"
"EWZ","24%","8","62.5","1.36M","319.23K","1.04M","-167.2%","54.6","62.5%","0.4","0.4","0","36.45"
"TGT","47%","7","100.0","910.67K","0.00","910.67K","-4514.1%","58.0","100.0%","1.9","1.3","0","37.56"
"AAPL","51%","267","52.8","10.24M","9.44M","796.76K","94.8%","62.3","52.8%","1.4","0.4","0","30.71"
"ABBV","29%","4","75.0","1.01M","214.06K","795.22K","9.2%","361.8","75.0%","6.2","0.2","0","24.33"
"XLY","67%","6","100.0","772.58K","0.00","772.58K","-46.0%","31.0","100.0%","-0.4","10.0","0","26.92"
"AMD","66%","131","48.1","5.14M","4.40M","742.74K","100.0%","51.4","46.6%","1.9","0.6","0","48.82"
"LI","33%","4","100.0","678.90K","0.00","678.90K","100.0%","94.0","75.0%","11.4","0.7","0","68.07"
"CAT","25%","5","60.0","860.25K","186.33K","673.92K","-87.5%","52.0","40.0%","0","0.3","0","30.29"
"NET","73%","41","63.4","2.01M","1.34M","669.33K","-737.6%","20.9","63.4%","-1.4","1.4","0","77.58"
"ATVI","47%","7","85.7","689.81K","33.48K","656.34K","-10.8%","138.0","85.7%","5.4","0.3","0","28.81"
"UBER","65%","53","64.2","1.77M","1.14M","632.63K","100.0%","123.8","54.7%","9.3","0.4","0","47.52"
"BIDU","82%","9","55.6","895.58K","302.14K","593.44K","100.0%","48.9","55.6%","12.1","0.2","0","61.85"
"MRVL","73%","8","50.0","888.27K","300.97K","587.30K","-349.2%","91.4","50.0%","8.3","1.7","0","53.02"
"COIN","68%","105","59.0","3.61M","3.08M","534.57K","36.0%","28.6","53.3%","8.7","0.7","0","136.3"
"CRWD","88%","21","57.1","1.14M","604.50K","531.23K","-1313.6%","172.3","52.4%","12.5","1.1","0","58.03"
"SEDG","80%","12","83.3","885.85K","374.76K","511.09K","-192.2%","17.6","83.3%","1.7","2.6","0","68.07"
"CCJ","93%","13","84.6","603.99K","114.53K","489.45K","100.0%","38.0","84.6%","3.1","1.6","0","45.96"
"TTD","46%","53","64.2","1.77M","1.28M","484.42K","-794.0%","37.6","64.2%","7.4","7.1","0","114.98"
"F","41%","17","52.9","762.15K","310.89K","451.26K","-150.3%","41.3","41.2%","1","0.6","0","38.61"
"XLP","55%","6","83.3","599.13K","156.00K","443.13K","-922.7%","178.0","83.3%","6.8","2.8","0","15.36"
"SPLK","77%","10","80.0","602.95K","169.84K","433.11K","100.0%","66.0","80.0%","7.6","5.7","0","54.3"
"SE","43%","3","66.7","491.08K","60.32K","430.76K","100.0%","35.7","66.7%","2","0.4","0","88.36"
"PINS","87%","20","75.0","576.99K","163.65K","413.34K","-92.5%","193.8","75.0%","29","1.2","0","51.92"
"MARA","89%","17","70.6","677.08K","270.42K","406.66K","100.0%","71.8","70.6%","4.5","1.0","0","149.61"
"GOOGL","63%","260","47.3","9.14M","8.75M","390.66K","88.5%","103.3","46.9%","4.5","0.5","0","35.4"
"MAR","100%","15","46.7","778.90K","395.75K","383.15K","-1216.7%","59.5","46.7%","-1.4","7.0","0","26.75"
"CPRI","100%","6","50.0","683.64K","304.02K","379.62K","-101.5%","94.0","50.0%","-1.4","0.4","0","37.71"
"ZS","59%","10","80.0","463.28K","100.03K","363.25K","100.0%","12.1","80.0%","3.3","1.1","0","60.35"
"MNDY","33%","3","100.0","360.28K","0.00","360.28K","-2026.3%","54.3","100.0%","14.3","3.8","0","67.9"
"CFLT","100%","9","77.8","536.99K","192.76K","344.23K","-1667.9%","195.1","77.8%","17.6","8.8","0","71.62"
"UAL","30%","3","66.7","382.25K","40.28K","341.97K","-808.2%","236.3","66.7%","-8.4","0.5","0","42.47"
"SOUN","82%","9","77.8","434.45K","93.58K","340.88K","-277.5%","59.0","33.3%","56.7","0.4","0","203.51"
"MA","60%","6","83.3","429.22K","88.40K","340.82K","-38151.4%","59.0","83.3%","6.1","6.3","0","23.74"
"DLTR","50%","4","100.0","334.76K","0.00","334.76K","-1307.4%","25.8","100.0%","1.7","6.7","0","33.17"
"ADI","54%","7","85.7","375.55K","42.77K","332.78K","100.0%","25.0","85.7%","0.3","4.3","0","41.05"
"XBI","79%","19","78.9","889.42K","583.38K","306.04K","-225.0%","33.9","78.9%","4.7","1.8","0","32.82"
"LVS","67%","4","75.0","438.77K","138.50K","300.27K","100.0%","307.5","75.0%","11.6","1.1","0","38.09"
"NVAX","67%","4","100.0","288.42K","0.00","288.42K","100.0%","157.0","100.0%","7.1","5.0","0","121.54"
"WFC","58%","14","71.4","455.76K","170.12K","285.64K","100.0%","112.0","71.4%","-3.8","1.0","0","29.7"
"FXI","92%","12","33.3","726.00K","458.98K","267.02K","30.0%","116.2","33.3%","-0.3","0.4","0","31.02"
"QCOM","62%","15","60.0","614.60K","352.24K","262.36K","100.0%","87.0","60.0%","7.6","0.9","0","34.23"
"NICE","100%","12","50.0","567.95K","323.78K","244.17K","-12.5%","78.8","50.0%","4.4","0.9","0","34.67"
"XOP","21%","4","50.0","321.28K","82.80K","238.48K","71.0%","17.0","50.0%","2.4","0.2","0","42.24"
"YPF","80%","4","50.0","550.00K","317.10K","232.90K","100.0%","88.8","50.0%","-9.9","10.0","0","62.79"
"MSGE","100%","6","50.0","313.78K","84.76K","229.02K","100.0%","31.0","50.0%","-0.2","3.8","0","42.34"
"OXY","64%","42","52.4","1.89M","1.67M","222.73K","72.1%","94.8","52.4%","1.4","1.1","0","41.87"
"ON","52%","12","66.7","373.81K","156.63K","217.18K","100.0%","40.3","66.7%","6.5","0.9","0","45.11"
"GSK","50%","4","100.0","215.84K","0.00","215.84K","-72.2%","39.8","50.0%","2.7","1.7","0","31.56"
"SI","54%","37","54.1","990.08K","775.35K","214.73K","65.7%","51.4","54.1%","20.6","1.0","0","173.53"
"DHR","29%","2","100.0","213.44K","0.00","213.44K","71.3%","94.0","100.0%","3.6","0.9","0","29.49"
"TEAM","60%","3","66.7","305.60K","92.69K","212.91K","100.0%","31.0","33.3%","9","0.4","0","63.4"
"CNHI","100%","7","71.4","291.56K","78.94K","212.62K","-80.5%","83.0","71.4%","7.2","8.3","0","31.71"
"XRT","17%","1","100.0","210.00K","0.00","210.00K","-53.9%","3.0","100.0%","-0.3","0.3","0","33.49"
"MDB","60%","6","66.7","423.10K","213.13K","209.97K","-71.1%","27.5","66.7%","1.8","1.3","0","83.33"
"AMAT","7%","3","100.0","203.34K","0.00","203.34K","100.0%","33.3","100.0%","0.8","0.7","0","50.06"
"AXP","56%","5","60.0","309.27K","108.48K","200.80K","49.9%","106.6","60.0%","4.2","0.6","0","26.68"
"RTX","86%","6","83.3","219.65K","32.05K","187.60K","-136.7%","64.8","83.3%","-3.5","1.4","0","24.12"
"TQQQ","74%","82","47.6","2.20M","2.02M","178.61K","-213.6%","64.5","43.9%","5.8","0.6","0","78.8"
"CAR","25%","2","100.0","176.80K","0.00","176.80K","-17.9%","174.5","100.0%","50.6","0.5","0","76.54"
"MPW","75%","12","58.3","537.29K","371.82K","165.47K","100.0%","28.7","58.3%","2.2","4.4","0","76.57"
"AMZN","66%","207","50.7","7.36M","7.19M","160.40K","100.0%","73.1","50.7%","3.4","0.4","0","39.96"
"ANET","80%","8","50.0","294.90K","134.78K","160.12K","100.0%","44.1","50.0%","7.5","2.2","0","39.81"
"SNOW","69%","58","43.1","2.24M","2.08M","158.99K","68.6%","28.5","43.1%","10.5","0.9","0","69.18"
"HYG","30%","14","57.1","543.53K","387.18K","156.35K","100.0%","43.0","57.1%","2.6","1.6","0","10.57"
"DOCU","64%","7","85.7","182.81K","26.79K","156.02K","100.0%","25.0","85.7%","-1.2","1.0","0","73.34"
"LRCX","50%","4","50.0","209.92K","59.67K","150.25K","100.0%","95.8","50.0%","18.1","0.8","0","42"
"NKE","24%","4","75.0","185.39K","38.76K","146.63K","100.0%","57.3","75.0%","6.7","0.8","0","30.49"
"USO","86%","6","50.0","316.00K","169.57K","146.43K","69.3%","74.2","50.0%","2.9","0.3","0","37.36"
"LIN","80%","4","75.0","187.59K","45.24K","142.35K","-1269.5%","39.8","75.0%","5.3","3.8","0","22.05"
"C","40%","6","83.3","183.37K","41.17K","142.20K","100.0%","159.3","83.3%","14.3","0.3","0","25.13"
"CEG","60%","3","66.7","183.06K","46.98K","136.08K","-814.0%","213.0","66.7%","4.5","3.3","0","34.27"
"TOST","62%","5","80.0","161.53K","26.40K","135.13K","-368.6%","103.8","80.0%","14.2","6.7","0","86.96"
"ARCH","60%","3","100.0","130.34K","0.00","130.34K","100.0%","42.7","100.0%","8.6","3.0","0","62.28"
"JD","65%","13","38.5","539.71K","410.15K","129.56K","37.6%","55.2","38.5%","-1","0.5","0","49.24"
"PARA","36%","9","66.7","218.11K","96.05K","122.06K","100.0%","70.7","66.7%","8.2","3.3","0","73.39"
"VZ","40%","4","75.0","146.21K","27.92K","118.29K","100.0%","206.0","50.0%","-5.9","0.4","0","23.51"
"NIO","76%","16","62.5","554.48K","438.23K","116.25K","-951.4%","196.8","62.5%","2.6","1.2","0","75.19"
"PG","60%","3","100.0","115.41K","0.00","115.41K","100.0%","96.3","100.0%","1.7","0.6","0","17.84"
"NCLH","71%","5","60.0","165.82K","53.11K","112.71K","-55365.6%","176.6","60.0%","36.2","0.9","0","55.16"
"GILD","70%","7","85.7","199.76K","88.79K","110.97K","1.3%","114.0","85.7%","1.5","1.6","0","24.43"
"RBLX","32%","8","75.0","252.83K","142.43K","110.40K","100.0%","70.4","75.0%","12.8","1.9","0","111.74"
"DAL","22%","2","100.0","110.39K","0.00","110.39K","66.9%","62.5","100.0%","2.4","0.5","0","36.02"
"OKTA","33%","3","100.0","109.08K","0.00","109.08K","-1359.0%","12.3","100.0%","-2.5","3.8","0","65.29"
"BTU","73%","33","51.5","1.15M","1.04M","108.74K","1.9%","42.0","33.3%","0.5","1.1","0","69.17"
"NOW","40%","2","50.0","134.20K","26.41K","107.78K","100.0%","17.0","50.0%","-1.9","0.3","0","48.9"
"BRK/B","78%","7","71.4","254.79K","148.05K","106.74K","72.6%","229.0","71.4%","11.1","0.7","0","18.27"
"SNAP","50%","5","80.0","134.53K","31.52K","103.01K","100.0%","109.4","80.0%","31.1","0.2","0","74.43"
"GS","82%","18","77.8","815.96K","717.45K","98.52K","100.0%","53.6","77.8%","1.2","3.3","0","25.06"
"SOXS","100%","5","60.0","169.41K","73.90K","95.52K","69.3%","155.6","60.0%","38.3","0.5","0","112.2"
"TZA","100%","14","35.7","496.93K","403.26K","93.67K","-134.7%","29.0","35.7%","1.3","2.8","0","69.84"
"THC","80%","4","75.0","118.50K","28.13K","90.37K","100.0%","78.3","75.0%","0.1","1.2","0","40.17"
"INDI","40%","2","100.0","86.88K","0.00","86.88K","100.0%","94.0","50.0%","11.9","1.0","0","65.89"
"COST","62%","5","60.0","402.56K","317.51K","85.05K","8.6%","151.4","60.0%","8.3","0.6","0","25.04"
"NEE","29%","2","50.0","155.00K","71.69K","83.31K","100.0%","339.0","50.0%","15.4","0.3","0","25.35"
"GM","39%","7","57.1","209.04K","125.88K","83.16K","94.7%","98.0","57.1%","-1.7","0.2","0","36.08"
"DASH","64%","7","42.9","416.88K","336.97K","79.91K","-974.5%","24.0","42.9%","-7.5","0.7","0","126.18"
"EQT","40%","2","100.0","79.90K","0.00","79.90K","100.0%","94.0","100.0%","11.3","0.6","0","49.23"
"CCL","82%","9","33.3","391.72K","313.62K","78.09K","65.3%","104.9","33.3%","10.2","0.2","0","61.52"
"BYND","100%","5","60.0","217.49K","142.20K","75.29K","100.0%","80.0","60.0%","5.9","0.8","0","161.5"
"ISEE","40%","2","100.0","67.75K","0.00","67.75K","-8694.1%","31.0","100.0%","6.9","10.0","0","144.06"
"MDLZ","29%","2","100.0","64.00K","0.00","64.00K","100.0%","339.0","100.0%","14","10.0","0","19.58"
"JNJ","43%","3","66.7","214.94K","154.00K","60.95K","100.0%","248.0","66.7%","9.2","0.4","0","16.14"
"UUP","40%","2","100.0","57.56K","0.00","57.56K","-12.8%","17.0","100.0%","-1.4","1.4","0","12.18"
"X","32%","6","66.7","174.76K","119.25K","55.51K","100.0%","181.5","66.7%","7.8","0.8","0","49.92"
"SHAK","40%","2","50.0","93.23K","38.00K","55.23K","100.0%","17.0","50.0%","11.2","1.0","0","95.1"
"EFA","16%","3","33.3","148.34K","95.10K","53.23K","100.0%","145.3","33.3%","-4.7","0.4","0","17.78"
"IP","100%","6","50.0","213.44K","163.78K","49.66K","100.0%","298.2","50.0%","-2.2","7.5","0","30.48"
"PCAR","14%","1","100.0","48.28K","0.00","48.28K","100.0%","185.0","100.0%","6.1","5.0","0","24.52"
"DDOG","68%","13","53.8","375.63K","329.69K","45.95K","100.0%","11.6","53.8%","3.3","1.0","0","112.29"
"FSLY","71%","5","60.0","109.92K","65.58K","44.34K","73.8%","3.0","60.0%","1.4","0.9","0","184.12"
"INTC","67%","12","50.0","320.40K","277.40K","43.01K","100.0%","175.7","50.0%","-3.1","0.7","0","35.75"
"FIS","100%","5","60.0","132.20K","94.16K","38.04K","100.0%","172.4","60.0%","8.8","0.5","0","32.4"
