"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"11-29 17:44","CRM","Blocktrade","248","2.0K","496.0K","AtAsk","Technology","2000"
"11-29 17:43","AI","Blocktrade","30.3","9.45K","286.3K","AtBid","Real Estate","9449"
"11-29 17:43","M","Blocktrade","15.5901","30.0K","467.7K","AtBid","Consumer Cyclical","30000"
"11-29 17:42","QQQ","Blocktrade","390.01","2.6K","1.01M","AtBid","Financial","0"
"11-29 17:40","SE","Blocktrade","36.89","10.0K","368.9K","AtAsk","Communication Services","10000"
"11-29 17:37","HYG","Blocktrade","75.85","6.83K","517.83K","AtAsk","Financial","6827"
"11-29 17:37","GLD","Blocktrade","189.54","16.64K","3.15M","AtAsk","Financial","16637"
"11-29 17:33","TSLA","Blocktrade","244.6","1.7K","415.82K","AtBid","Consumer Cyclical","1700"
"11-29 17:32","GSL","Blocktrade","18.07","216.44K","3.91M","AtAsk","Industrials","216440"
"11-29 17:32","TQQQ","Blocktrade","44.35","9.0K","399.15K","AtAsk","Financial","9000"
"11-29 17:31","META","Blocktrade","332.2","8.96K","2.98M","AtAsk","Communication Services","8956"
"11-29 17:31","AFRM","Blocktrade","34.01","7.4K","251.67K","AtBid","Technology","7400"
"11-29 17:31","IEI","Blocktrade","115.28","102.2K","11.78M","AtBid","Financial","102200"
"11-29 17:31","TH","Blocktrade","10.99","262.6K","2.89M","AtBid","Energy","262600"
"11-29 17:31","EYE","Blocktrade","18.94","194.1K","3.68M","AtAsk","Consumer Cyclical","194100"
"11-29 17:31","DLO","Blocktrade","17.32","113.0K","1.96M","AtBid","N/A","113000"
"11-29 17:31","KNF","Blocktrade","59.35","59.6K","3.54M","AtAsk","N/A","59600"
"11-29 17:31","TH","Blocktrade","10.99","103.1K","1.13M","AtBid","Energy","103100"
"11-29 17:31","AY","Blocktrade","19.05","64.9K","1.24M","AtBid","Utilities","64900"
"11-29 17:31","ITRI","Blocktrade","66.06","86.2K","5.69M","AtBid","Technology","86200"
"11-29 17:31","SHYF","Blocktrade","11.06","388.5K","4.3M","AtAsk","Industrials","388495"
"11-29 17:31","ALKS","Blocktrade","23.79","55.5K","1.32M","AtAsk","Healthcare","55500"
"11-29 17:31","TNC","Blocktrade","85.69","64.3K","5.51M","AtAsk","Industrials","64300"
