"Symbol","Sentiment","TotalAmount","DailyAmount Change","AtAsk","AtBid","NetValue","DPTrades","BlockTrades"
"SPY","","4.23B","-28.51%","3.08B","822.25M","2.26B","245","518"
"QQQ","","1.9B","-39.97%","939.95M","761.68M","178.27M","102","247"
"NVDA","","832.73M","-14.27%","832.73M","0","832.73M","1","5"
"VOO","","755.14M","196.53%","592.65M","112.13M","480.52M","33","98"
"IWM","","675.17M","9.8%","418.03M","196.39M","221.64M","37","59"
"META","","629.82M","106.38%","163.56M","466.26M","-302.69M","9","2"
"MSFT","","574.37M","12.3%","394.61M","179.76M","214.85M","7","1"
"AMZN","","452.07M","70.43%","389.44M","62.64M","326.8M","5","4"
"XOM","","420.24M","3.18%","335.28M","9.22M","326.06M","10","7"
"AAPL","","397.75M","-7.21%","310.37M","87.38M","222.99M","2","2"
"BIL","","348.04M","-1.44%","104.9M","105.1M","-195.05K","3","331"
"CVX","","291.32M","55.84%","4.79M","286.53M","-281.74M","1","8"
"BRK/B","","260.74M","-25.51%","194.81M","52.45M","142.37M","14","85"
"LLY","","249.33M","-25.41%","6.17M","243.16M","-236.98M","0","6"
"C","","219.43M","2.85%","17.16M","108.39M","-91.23M","2","17"
"PG","","208.85M","42.38%","36.2M","172.65M","-136.45M","1","4"
"ORCL","","194.87M","-11.9%","139.31M","51.39M","87.92M","2","7"
"SQQQ","","193.45M","-28.78%","44.99M","70.02M","-25.04M","21","309"
"AMD","","182.52M","1.98%","165.35M","10.36M","154.99M","17","6"
"QCOM","","179.01M","147.97%","166.36M","5.35M","161.01M","5","5"
"UPS","","177.25M","21.81%","7.73M","168.2M","-160.46M","1","7"
"MRK","","176.13M","-7.18%","5.24M","170.89M","-165.65M","5","2"
"TQQQ","","175.13M","-52.34%","43.76M","53.8M","-10.04M","94","315"
"DG","","173.69M","6.35%","48.45M","106.88M","-58.44M","23","77"
"HZNP","","169.27M","-28.22%","51.23M","78.36M","-27.13M","13","107"
"BX","","159.81M","775.32%","35.09M","108.44M","-73.36M","10","13"
"ALB","","159.28M","1226.83%","38.98M","71.16M","-32.18M","6","247"
"VMW","","156.48M","163.05%","11.56M","135.18M","-123.62M","2","20"
"AGG","","153.21M","27.17%","97.53M","15.13M","82.4M","8","99"
"OXY","","152.27M","831.84%","144.75M","4.59M","140.16M","7","9"
"EFA","","146.83M","51.83%","112.36M","30.01M","82.35M","3","33"
"NFLX","","144.0M","140.37%","56.14M","76.56M","-20.42M","3","5"
"CHTR","","143.8M","95.36%","3.63M","134.93M","-131.3M","1","15"
"BAC","","141.3M","103.83%","82.48M","17.34M","65.14M","8","5"
"AVGO","","139.55M","-31.94%","79.73M","19.83M","59.9M","3","10"
"UNH","","138.57M","12.27%","13.47M","115.45M","-101.98M","1","8"
"TSLA","","138.39M","-46.4%","70.5M","55.31M","15.18M","4","5"
"DIS","","138.07M","-22.6%","32.91M","97.59M","-64.68M","8","6"
"PYPL","","138.07M","36.33%","130.23M","3.19M","127.03M","5","7"
"AXP","","137.55M","34.55%","31.08M","88.43M","-57.35M","2","11"
"VTEB","","134.3M","196.03%","81.37M","37.81M","43.56M","1","56"
"ABT","","133.15M","17.66%","133.15M","0","133.15M","0","5"
"CTVA","","130.84M","197.56%","5.45M","117.06M","-111.6M","4","15"
"KVUE","","128.65M","-35.81%","20.34M","63.59M","-43.25M","19","77"
"VTI","","128.29M","-4.81%","34.17M","23.78M","10.39M","19","144"
"LIN","","126.84M","-2.86%","14.91M","111.93M","-97.02M","0","5"
"PFE","","126.13M","-27.97%","7.08M","113.48M","-106.41M","2","9"
"LOW","","120.5M","-1.89%","29.41M","89.5M","-60.09M","0","9"
"MELI","","120.13M","85.44%","22.54M","94.49M","-71.95M","4","12"
"SMCI","","118.13M","-40.51%","52.07M","44.89M","7.18M","22","151"
"ABNB","","114.54M","400.81%","68.96M","32.79M","36.17M","25","38"
"BSV","","113.95M","33.99%","62.07M","38.48M","23.58M","0","38"
"IVV","","112.36M","-64.39%","27.38M","44.64M","-17.26M","35","69"
"EWZ","","110.93M","106.83%","99.87M","9.4M","90.46M","7","24"
"AMAT","","109.63M","118.79%","106.62M","3.01M","103.6M","3","2"
"PLD","","108.47M","10.71%","9.3M","77.22M","-67.93M","2","13"
"MMM","","107.26M","29.87%","63.14M","43.22M","19.92M","4","6"
"MUB","","107.03M","2.7%","23.0M","51.7M","-28.7M","9","82"
"BABA","","106.3M","-24.43%","66.38M","39.92M","26.46M","7","5"
"ZTS","","105.92M","0.86%","104.99M","0","104.99M","0","5"
"MO","","103.97M","52.95%","943.88K","103.03M","-102.09M","1","6"
"MMC","","101.05M","-15.98%","93.34M","7.71M","85.63M","0","10"
"SHV","","100.7M","-3.58%","53.85M","11.11M","42.74M","0","79"
"GOOGL","","100.0M","-53.5%","100.0M","0","100.0M","1","1"
"WFC","","98.36M","-38.98%","98.36M","0","98.36M","2","1"
"MU","","95.57M","-0.34%","87.17M","8.4M","78.77M","3","4"
"UBER","","95.22M","71.96%","75.4M","8.83M","66.57M","6","5"
"TJX","","94.98M","-35.84%","66.4M","27.08M","39.32M","1","6"
"MS","","94.04M","-1.58%","79.94M","14.09M","65.85M","0","8"
"DHR","","93.6M","-43.57%","90.15M","3.45M","86.69M","0","4"
"SYK","","92.71M","13.87%","20.55M","72.16M","-51.61M","0","6"
"CTLT","","92.12M","129.73%","84.26M","1.11M","83.15M","6","9"
"VTV","","90.78M","-5.54%","32.06M","31.24M","820.49K","14","74"
"IWB","","86.58M","34.0%","20.3M","3.2M","17.09M","9","127"
"EW","","86.3M","480.53%","50.21M","12.45M","37.76M","10","24"
"BND","","84.89M","-24.14%","37.94M","12.08M","25.86M","3","82"
"BKR","","83.64M","200.28%","14.84M","39.25M","-24.41M","13","20"
"ZS","","82.89M","649.8%","32.46M","36.23M","-3.77M","17","105"
"OKTA","","82.66M","73.15%","6.87M","45.18M","-38.32M","11","51"
"EMB","","81.87M","13.65%","33.06M","26.28M","6.78M","7","33"
"IAU","","81.02M","144.74%","16.12M","51.87M","-35.74M","2","50"
"HUM","","79.91M","-33.63%","4.9M","71.46M","-66.55M","4","13"
"BIDU","","79.81M","176.12%","54.41M","24.98M","29.43M","2","8"
"HD","","79.73M","115.81%","4.99M","71.31M","-66.31M","1","8"
"SCHD","","77.87M","198.36%","35.78M","21.67M","14.11M","3","50"
"IEFA","","76.84M","-8.44%","41.77M","18.24M","23.53M","6","61"
"TGT","","76.55M","-15.2%","10.4M","62.44M","-52.04M","6","15"
"IYW","","76.41M","3016.45%","68.06M","0","68.06M","0","7"
"DE","","76.41M","321.67%","58.2M","6.41M","51.79M","0","7"
"KBE","","76.24M","29.79%","74.57M","353.58K","74.22M","0","11"
"CMG","","75.99M","56.72%","73.0M","2.99M","70.01M","0","4"
"JPST","","73.86M","67.06%","35.09M","3.32M","31.78M","0","70"
"SU","","72.3M","-11.84%","70.1M","2.2M","67.9M","0","2"
"FI","","71.57M","16.89%","3.55M","988.12K","2.57M","1","10"
"COST","","69.92M","41.65%","61.2M","3.17M","58.03M","5","4"
"MANH","","69.22M","4.29%","64.28M","0","64.28M","0","6"
"MCO","","68.57M","47.22%","67.74M","836.48K","66.9M","0","8"
"TXN","","65.79M","32.76%","59.2M","0","59.2M","0","3"
"DEN","","64.98M","86.44%","21.14M","34.93M","-13.78M","6","12"
"DELL","","63.87M","-32.78%","36.25M","10.88M","25.37M","14","80"
"LMT","","63.71M","0.28%","1.16M","62.55M","-61.39M","0","5"
"VEA","","63.49M","-8.39%","19.23M","8.81M","10.43M","7","94"
"MCK","","63.13M","-33.6%","57.59M","4.89M","52.7M","0","7"
"EMR","","62.67M","19.34%","51.56M","10.4M","41.16M","0","8"
"KMB","","62.58M","5.63%","1.57M","54.82M","-53.24M","2","17"
"AVB","","62.2M","67.58%","0","60.41M","-60.41M","0","8"
"MTUM","","61.9M","371.54%","278.82K","289.99K","-11.17K","0","11"
"NEM","","61.56M","341.5%","50.15M","9.16M","40.99M","4","13"
"ADI","","61.05M","128.34%","56.03M","3.01M","53.02M","2","6"
"HPQ","","60.99M","7.97%","60.72M","0","60.72M","2","10"
"VEEV","","60.92M","32.59%","50.42M","3.09M","47.33M","1","20"
"RSP","","60.9M","-68.61%","14.49M","18.12M","-3.63M","17","56"
"RMD","","60.78M","157.82%","47.1M","6.94M","40.16M","2","20"
"SQ","","60.24M","12.32%","18.05M","35.05M","-17.0M","11","25"
"IEMG","","59.68M","22.32%","19.68M","24.11M","-4.43M","3","42"
"CCI","","59.5M","14.92%","12.88M","43.85M","-30.97M","6","10"
"NATI","","58.57M","139.44%","20.8M","32.01M","-11.21M","2","19"
"T","","58.09M","-44.19%","16.09M","36.22M","-20.13M","0","12"
"MBB","","58.01M","27.16%","7.94M","42.66M","-34.72M","2","27"
"ZM","","57.62M","261.27%","21.93M","26.48M","-4.55M","30","47"
"CB","","57.43M","50.54%","22.9M","32.54M","-9.64M","0","9"
"F","","55.0M","-11.62%","6.8M","2.92M","3.88M","1","17"
"HLT","","54.95M","-33.75%","0","809.13K","-809.13K","0","9"
"INSM","","54.88M","577.07%","14.99M","24.82M","-9.83M","16","39"
"JNK","","54.87M","-38.81%","35.62M","3.11M","32.51M","5","33"
"SPDN","","54.55M","154.83%","9.72M","44.58M","-34.86M","0","36"
"KRE","","54.2M","84.35%","27.18M","15.64M","11.54M","4","42"
"IR","","53.77M","-15.17%","34.48M","294.48K","34.18M","1","26"
"EWJ","","53.73M","25.73%","4.99M","47.21M","-42.23M","1","21"
"YUM","","53.71M","-22.0%","41.6M","0","41.6M","1","21"
"A","","52.76M","-4.6%","603.47K","3.47M","-2.87M","2","14"
"ADP","","52.67M","-20.89%","43.63M","1.08M","42.55M","0","11"
"ATVI","","52.43M","-30.41%","4.16M","16.8M","-12.64M","6","18"
"USO","","52.42M","64.34%","37.39M","10.77M","26.62M","3","34"
"D","","52.34M","10.96%","3.67M","43.41M","-39.73M","6","13"
"CNC","","52.02M","-8.99%","334.69K","41.41M","-41.07M","1","20"
"KKR","","51.79M","-60.97%","7.91M","41.28M","-33.38M","1","14"
"LYB","","51.61M","-32.68%","48.64M","306.82K","48.34M","2","10"
"USB","","50.81M","77.48%","10.1M","12.86M","-2.76M","7","16"
"PPG","","50.81M","-12.7%","693.2K","47.57M","-46.88M","1","9"
"SBUX","","50.79M","212.91%","7.23M","20.74M","-13.51M","1","6"
"FCX","","50.38M","-15.07%","45.08M","3.24M","41.84M","1","9"
"GBIL","","50.35M","38.94%","14.38M","27.57M","-13.2M","0","33"
"MSCI","","49.71M","31.01%","6.4M","41.26M","-34.86M","0","5"
"SRE","","49.67M","-24.0%","47.31M","0","47.31M","5","5"
"VWO","","49.43M","-5.22%","23.96M","12.61M","11.35M","1","68"
"CMI","","48.82M","9.0%","3.18M","44.97M","-41.79M","1","12"
"PEG","","48.29M","29.93%","44.18M","3.61M","40.57M","8","5"
"NKE","","47.36M","-22.99%","41.65M","2.4M","39.25M","1","6"
"CF","","47.05M","134.87%","15.85M","27.76M","-11.91M","2","13"
"AMP","","46.42M","17.79%","45.58M","0","45.58M","1","6"
"IYR","","46.23M","34.78%","18.85M","16.77M","2.08M","8","15"
"SE","","45.92M","98.82%","6.9M","6.45M","448.83K","11","15"
"STX","","45.51M","133.93%","13.18M","7.94M","5.23M","9","53"
"BIV","","45.22M","192.75%","34.17M","4.17M","30.0M","0","22"
"RH","","45.03M","426.63%","9.01M","8.74M","261.17K","1","18"
"VUG","","44.95M","8.02%","31.61M","5.21M","26.4M","1","46"
"GDX","","44.95M","-26.04%","11.63M","29.28M","-17.64M","11","24"
"SNAP","","44.28M","-16.74%","9.57M","8.42M","1.15M","4","20"
"CMS","","44.07M","38.58%","1.16M","36.01M","-34.84M","2","20"
"IXUS","","44.05M","3.15%","20.96M","8.52M","12.43M","3","16"
"EXR","","43.91M","31.74%","39.85M","0","39.85M","0","11"
"SO","","43.87M","-31.1%","38.6M","0","38.6M","5","4"
"APO","","43.71M","68.83%","13.11M","18.06M","-4.95M","3","19"
"NSC","","43.53M","-11.64%","4.71M","36.99M","-32.28M","1","12"
"MSI","","43.05M","-17.51%","1.41M","41.64M","-40.23M","0","8"
"FMC","","42.72M","63.96%","16.08M","24.33M","-8.25M","3","9"
"ROK","","42.48M","-30.78%","33.45M","5.89M","27.56M","8","12"
"IWD","","42.46M","8.3%","18.34M","14.23M","4.11M","5","29"
"IJR","","42.18M","35.39%","9.71M","21.0M","-11.29M","6","36"
"KEYS","","41.53M","-41.83%","1.76M","39.52M","-37.77M","2","11"
"KIM","","41.23M","87.99%","2.1M","38.47M","-36.37M","3","6"
"TT","","41.21M","-12.63%","0","38.3M","-38.3M","0","8"
"ED","","41.0M","-0.73%","640.87K","38.63M","-37.99M","0","10"
"BA","","40.7M","-42.74%","29.11M","7.58M","21.53M","2","6"
"IDV","","40.41M","2744.01%","0","40.13M","-40.13M","2","4"
"DTE","","40.15M","80.07%","1.68M","34.66M","-32.98M","2","14"
"APD","","40.04M","461.52%","35.61M","687.61K","34.92M","2","8"
"MDT","","39.81M","408.45%","3.72M","36.09M","-32.37M","2","4"
"AEM","","39.67M","578.93%","34.6M","4.38M","30.22M","5","3"
"VGSH","","39.58M","-36.55%","6.25M","10.28M","-4.03M","1","52"
"ECL","","39.57M","-4.33%","557.89K","39.01M","-38.45M","1","4"
"MDLZ","","39.46M","-26.24%","0","5.05M","-5.05M","4","4"
"WELL","","39.32M","-27.18%","1.03M","37.84M","-36.82M","1","7"
"LULU","","39.31M","-32.48%","10.64M","22.26M","-11.62M","5","36"
"IJH","","38.95M","26.68%","13.92M","7.61M","6.31M","21","36"
"TRTN","","38.74M","1799.18%","8.32M","28.33M","-20.01M","1","4"
"ACN","","38.53M","-3.52%","0","31.73M","-31.73M","1","3"
"VXUS","","38.47M","12.23%","5.97M","10.19M","-4.21M","2","43"
"DUK","","38.46M","-35.02%","35.45M","0","35.45M","0","7"
"SPXL","","38.41M","-23.08%","13.31M","14.28M","-972.24K","25","57"
"RCL","","38.23M","0.17%","36.42M","892.6K","35.52M","2","19"
"RBLX","","38.12M","42.69%","4.79M","1.43M","3.36M","4","17"
"IEI","","38.09M","-24.17%","25.42M","7.03M","18.39M","1","26"
"CCL","","38.08M","32.83%","25.52M","10.12M","15.39M","24","19"
"ADBE","","37.96M","-55.11%","25.07M","9.99M","15.08M","1","6"
"DRI","","37.95M","105.0%","37.95M","0","37.95M","0","7"
"XYL","","37.89M","-16.0%","30.5M","1.5M","29.0M","0","21"
"BBWI","","37.54M","4.0%","4.22M","0","4.22M","2","16"
"CAG","","37.53M","39.69%","35.27M","256.46K","35.01M","0","9"
"MDB","","37.18M","-59.18%","18.07M","10.86M","7.21M","5","40"
"ROKU","","37.18M","67.17%","17.92M","12.3M","5.61M","16","63"
"GPN","","37.09M","111.67%","34.37M","439.16K","33.93M","0","8"
"CSCO","","37.03M","-45.08%","31.73M","5.3M","26.44M","2","6"
"ZBH","","36.75M","-46.01%","2.65M","26.82M","-24.18M","1","11"
"NOG","","36.24M","372.9%","3.58M","19.47M","-15.89M","2","6"
"CAT","","36.17M","102.67%","13.57M","17.84M","-4.27M","1","6"
"VZ","","36.0M","81.97%","20.34M","14.19M","6.15M","2","4"
"INTU","","35.79M","-44.16%","18.81M","6.15M","12.66M","0","9"
"FLR","","35.72M","395.35%","21.05M","10.16M","10.89M","2","12"
"FSLR","","35.47M","39.27%","3.76M","31.45M","-27.69M","6","16"
"CMCSA","","35.42M","29.7%","19.84M","12.93M","6.91M","4","4"
"PHM","","34.99M","-35.11%","5.01M","29.19M","-24.18M","1","10"
"AME","","34.97M","749.2%","29.99M","4.58M","25.41M","0","4"
"VIG","","34.75M","-45.37%","13.1M","12.13M","971.42K","6","31"
"MPC","","34.7M","10.35%","24.33M","10.37M","13.96M","1","5"
"TZA","","34.66M","94.21%","7.5M","16.81M","-9.31M","12","32"
"SPYV","","34.31M","93.99%","8.19M","23.46M","-15.27M","1","13"
"UAL","","34.25M","240.05%","15.8M","10.62M","5.19M","29","45"
"TPR","","34.06M","60.14%","13.89M","19.34M","-5.45M","4","7"
"FDX","","33.9M","-23.98%","11.27M","22.63M","-11.35M","6","11"
"GILD","","33.82M","-34.27%","0","33.82M","-33.82M","6","0"
