"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"12-19 17:33","SCS","Darkpool","12.7","311.8K","3.96M","AtAsk","Industrials","0.30458156017713517"
"12-19 17:29","PIPR","Darkpool","177.89","3.1K","551.46K","NoMatch","Financial","0.018147995852421904"
"12-19 17:29","BLKB","Darkpool","87.51","29.8K","2.61M","NoMatch","Technology","0.07140166744457745"
"12-19 17:29","CHWY","Darkpool","23.68","113.46K","2.69M","AtAsk","Consumer Cyclical","0.026944223066935023"
"12-19 17:29","ENS","Darkpool","96.75","9.7K","938.48K","AtBid","Industrials","0.024442307184465942"
"12-19 17:29","EYPT","Darkpool","20","27.6K","552.0K","AtAsk","Healthcare","0.09851937163916423"
"12-19 17:29","CPK","Darkpool","104.42","49.2K","5.14M","NoMatch","N/A","49200"
"12-19 17:29","BZ","Darkpool","16.01","160.9K","2.58M","AtAsk","N/A","160900"
"12-19 17:29","KWR","Darkpool","215.12","11.7K","2.52M","NoMatch","Basic Materials","0.08494715996232702"
"12-19 17:29","CPRX","Darkpool","14.73","53.9K","793.95K","AtAsk","Healthcare","0.05881886203267664"
"12-19 17:29","BCPC","Darkpool","145.17","30.4K","4.41M","NoMatch","Basic Materials","0.0951258723378876"
"12-19 17:29","OPEN","Darkpool","4.34","696.7K","3.02M","AtAsk","Real Estate","0.1289372238376615"
"12-19 17:29","CCEP","Darkpool","65.17","224.1K","14.6M","AtAsk","Consumer Defensive","0.1097565663028985"
"12-19 17:29","BTI","Darkpool","29.89","72.1K","2.16M","AtBid","Consumer Defensive","0.003355446187545788"
"12-19 17:29","PM","Darkpool","95.27","129.9K","12.38M","AtBid","Consumer Defensive","0.008381674144276059"
"12-19 17:29","EVRG","Darkpool","51.85","244.0K","12.65M","AtBid","Utilities","0.10668854353146617"
"12-19 17:28","MA","Darkpool","423.8","36.4K","15.43M","AtBid","Financial","0.004376779271245353"
"12-19 17:22","GH","Darkpool","27.9","72.18K","2.01M","AtAsk","Healthcare","0.0646425906274101"
"12-19 17:21","RITM","Darkpool","11.08","1.81M","20.1M","AtBid","N/A","1814271"
"12-19 17:21","CCL","Darkpool","18.71","1.64M","30.65M","AtBid","Consumer Cyclical","0.1490396580203864"
"12-19 17:19","FSV","Darkpool","164.89","3.34K","550.57K","NoMatch","Real Estate","0.008465411542851044"
"12-19 17:19","EU","Darkpool","3.88","68.08K","264.17K","AtBid","N/A","68084"
"12-19 17:19","TFII","Darkpool","121.85","71.73K","8.74M","NoMatch","Industrials","0.0885476208761874"
"12-19 17:18","CVNA","Darkpool","59.8","6.39K","382.36K","AtAsk","Consumer Cyclical","0.0038820043350586476"
"12-19 17:18","PYPL","Darkpool","63.01","58.36K","3.68M","AtAsk","Financial","0.005459205450726948"
"12-19 17:18","CCCC","Darkpool","4.54","394.25K","1.79M","AtAsk","N/A","394248"
"12-19 17:18","NSC","Darkpool","233.62","3.36K","784.03K","AtAsk","Industrials","0.0014855586458116601"
"12-19 17:18","OPEN","Darkpool","4.34","126.17K","547.56K","AtAsk","Real Estate","0.023349167282156687"
"12-19 17:18","HRI","Darkpool","147.68","5.04K","744.16K","NoMatch","Industrials","0.018163717708936284"
"12-19 17:18","ORCL","Darkpool","106.25","22.32K","2.37M","AtAsk","Technology","0.0014015345937261096"
"12-19 17:18","LANC","Darkpool","167.66","6.64K","1.11M","NoMatch","Consumer Defensive","0.034618335716211396"
"12-19 17:18","AMD","Darkpool","140.15","99.25K","13.91M","AtAsk","Technology","0.0062079103249946385"
"12-19 17:18","HTHT","Darkpool","34.65","548.45K","19.0M","AtBid","Consumer Cyclical","0.1722775831266965"
"12-19 17:18","LABD","Darkpool","10.95","23.26K","254.68K","AtBid","N/A","23258"
"12-19 17:18","RVMD","Darkpool","26.58","17.21K","457.36K","AtAsk","Healthcare","0.011592833180767688"
"12-19 17:15","TSLA","Darkpool","257.22","69.98K","18.0M","AtAsk","Consumer Cyclical","0.0025313158733765192"
"12-19 17:15","CVX","Darkpool","151.64","145.08K","22.0M","AtBid","Energy","0.007710727505782246"
"12-19 17:15","KRE","Darkpool","52.75","568.5K","29.99M","AtBid","N/A","568500"
"12-19 17:13","RIVN","Darkpool","24.34","12.1K","294.51K","AtAsk","Consumer Cyclical","0.0018092752360401407"
"12-19 17:11","FDX","Darkpool","280","3.78K","1.06M","AtAsk","Industrials","0.0016392391178618826"
"12-19 17:10","SPY","Darkpool","474.84","100.0K","47.48M","AtAsk","Financial","0"
"12-19 17:10","SPY","Darkpool","474.84","250.0K","118.71M","AtAsk","Financial","0"
"12-19 17:09","SPY","Darkpool","474.84","250.0K","118.71M","AtAsk","Financial","0"
"12-19 17:09","SPY","Darkpool","474.84","250.0K","118.71M","AtAsk","Financial","0"
"12-19 17:09","SPY","Darkpool","474.84","250.0K","118.71M","AtAsk","Financial","0"
"12-19 17:09","SPY","Darkpool","474.84","250.0K","118.71M","AtAsk","Financial","0"
"12-19 17:09","SPY","Darkpool","474.84","250.0K","118.71M","AtAsk","Financial","0"
"12-19 17:09","IWM","Darkpool","200.93","548.0K","110.11M","AtAsk","Financial","0"
"12-19 17:09","SPY","Darkpool","474.84","250.0K","118.71M","AtAsk","Financial","0"
"12-19 17:09","SPY","Darkpool","474.84","250.0K","118.71M","AtAsk","Financial","0"
"12-19 17:08","AAOI","Darkpool","23.01","229.03K","5.27M","AtAsk","Technology","0.700514830746945"
"12-19 17:04","IWM","Darkpool","200.93","9.04K","1.82M","AtAsk","Financial","0"
"12-19 17:04","WBD","Darkpool","12.36","27.27K","337.07K","AtAsk","N/A","27271"
"12-19 17:04","DOW","Darkpool","54.92","7.17K","394.05K","AtAsk","Basic Materials","0.0010253557501070875"
"12-19 17:02","SNAP","Darkpool","17.18","1.72M","29.56M","AtBid","Communication Services","0.1410765254087677"
"12-19 17:02","RDFN","Darkpool","10.01","173.97K","1.74M","AtAsk","Real Estate","0.15783963434357884"
"12-19 17:02","WGO","Darkpool","75.14","86.69K","6.51M","AtAsk","Consumer Cyclical","0.2995570210748025"
"12-19 17:02","UBER","Darkpool","62.12","1.07M","66.41M","AtAsk","Technology","0.05398635183465414"
"12-19 17:02","AMLX","Darkpool","13.98","209.31K","2.93M","AtBid","N/A","209310"
"12-19 17:02","INVA","Darkpool","15.93","134.05K","2.14M","AtBid","Healthcare","0.21151274499671405"
"12-19 17:02","UPWK","Darkpool","15.3","217.99K","3.34M","AtBid","Industrials","0.18135873259635157"
"12-19 17:02","SIGI","Darkpool","101.25","23.23K","2.35M","NoMatch","Financial","0.03897731630270051"
"12-19 17:02","NUVL","Darkpool","74.65","63.45K","4.74M","AtAsk","N/A","63451"
"12-19 17:02","CCEP","Darkpool","65.17","187.96K","12.25M","AtAsk","Consumer Defensive","0.09205544261115661"
"12-19 17:02","VOD","Darkpool","8.57","199.6K","1.71M","AtAsk","Communication Services","0.007628893937387168"
"12-19 17:02","WEX","Darkpool","193.16","26.74K","5.17M","NoMatch","Technology","0.06299923768637343"
"12-19 17:02","MNDY","Darkpool","194.36","85.3K","16.58M","AtAsk","N/A","85301"
"12-19 17:02","ARGX","Darkpool","452.58","9.47K","4.28M","NoMatch","Healthcare","0.016088858633661243"
"12-19 17:02","OFIX","Darkpool","13.4","138.21K","1.85M","AtAsk","Healthcare","0.38975898378566304"
"12-19 17:02","INN","Darkpool","6.59","190.68K","1.26M","AtAsk","Real Estate","0.18178617847881023"
"12-19 17:02","HEES","Darkpool","52.555","25.11K","1.32M","AtAsk","Industrials","0.08427097586461132"
"12-19 17:02","PLAB","Darkpool","30.6","68.31K","2.09M","AtAsk","Technology","0.1185048161523787"
