時間,買價,賣價,成交,漲跌,單量,累計
09:00:19,,,445.0,-4.00,111,111
09:00:19,445.0,445.5,445.5,-3.50,1,112
09:00:19,445.0,446.0,445.0,-4.00,1,113
09:00:19,445.0,446.0,445.0,-4.00,1,114
09:00:19,445.0,445.5,445.0,-4.00,1,115
09:00:20,445.0,445.5,445.0,-4.00,20,135
09:00:21,444.5,445.5,444.5,-4.50,3,138
09:00:21,444.5,445.5,444.5,-4.50,1,139
09:00:21,444.5,445.5,444.5,-4.50,4,143
09:00:21,444.0,445.5,444.0,-5.00,5,148
09:00:21,444.0,445.5,444.0,-5.00,11,159
09:00:21,444.0,445.5,444.0,-5.00,2,161
09:00:21,443.5,445.5,445.0,-4.00,1,162
09:00:21,445.0,445.5,443.5,-5.50,2,164
09:00:21,443.5,445.5,443.5,-5.50,3,167
09:00:21,443.0,445.0,445.0,-4.00,3,170
09:00:21,443.0,445.0,443.0,-6.00,7,177
09:00:21,443.0,445.0,443.0,-6.00,30,207
09:00:22,442.5,445.0,442.5,-6.50,10,217
09:00:22,442.5,444.5,444.0,-5.00,3,220
09:00:22,442.5,445.0,442.5,-6.50,6,226
09:00:22,442.0,445.0,442.5,-6.50,3,229
09:00:22,442.5,444.0,442.5,-6.50,1,230
09:00:23,442.5,444.0,442.5,-6.50,2,232
09:00:23,442.5,444.0,442.5,-6.50,2,234
09:00:24,442.0,444.0,442.0,-7.00,12,246
09:00:24,442.0,443.5,442.0,-7.00,1,247
09:00:24,442.0,443.5,442.5,-6.50,2,249
09:00:24,442.5,443.5,443.5,-5.50,3,252
09:00:24,442.5,443.5,444.0,-5.00,7,259
09:00:24,442.5,444.0,442.5,-6.50,2,261
09:00:25,442.0,443.5,443.5,-5.50,1,262
09:00:26,442.0,443.5,442.5,-6.50,2,264
09:00:26,442.0,443.0,442.0,-7.00,2,266
09:00:26,442.0,443.0,442.0,-7.00,2,268
09:00:26,442.0,443.0,442.0,-7.00,2,270
09:00:26,442.0,443.0,442.0,-7.00,2,272
09:00:26,442.0,443.0,442.0,-7.00,2,274
09:00:26,442.0,442.5,442.0,-7.00,5,279
09:00:27,442.0,442.5,442.0,-7.00,4,283
09:00:27,442.0,442.5,442.0,-7.00,3,286
09:00:27,442.0,442.5,442.0,-7.00,1,287
09:00:27,442.0,442.5,442.5,-6.50,1,288
09:00:28,442.0,442.5,442.5,-6.50,2,290
09:00:29,442.0,442.5,442.0,-7.00,2,292
09:00:29,441.5,442.5,441.5,-7.50,3,295
09:00:29,441.5,442.5,441.5,-7.50,4,299
09:00:32,441.5,442.5,442.5,-6.50,10,309
09:00:33,441.5,442.5,441.5,-7.50,4,313
09:00:33,441.5,442.5,442.5,-6.50,2,315
09:00:34,442.0,442.5,442.0,-7.00,1,316
09:00:35,441.5,442.5,441.5,-7.50,1,317
09:00:36,441.5,442.5,441.5,-7.50,1,318
09:00:39,442.0,442.5,442.0,-7.00,1,319
09:00:39,441.5,442.5,441.5,-7.50,1,320
09:00:42,441.5,442.0,442.0,-7.00,1,321
09:00:42,441.5,442.0,442.0,-7.00,1,322
09:00:48,441.5,442.0,442.0,-7.00,1,323
09:00:48,441.5,442.0,442.0,-7.00,1,324
09:00:49,441.5,442.0,441.5,-7.50,1,325
09:00:49,441.5,442.0,442.0,-7.00,2,327
09:00:50,441.5,442.0,442.0,-7.00,1,328
09:00:51,441.5,442.0,441.5,-7.50,1,329
09:00:51,441.5,442.0,441.5,-7.50,1,330
09:00:51,441.5,442.0,442.0,-7.00,1,331
09:00:51,441.5,442.0,442.0,-7.00,1,332
09:00:53,441.5,442.0,442.0,-7.00,1,333
09:00:53,441.5,442.0,442.0,-7.00,1,334
09:00:53,441.5,442.0,442.0,-7.00,2,336
09:00:53,441.5,442.0,442.0,-7.00,5,341
09:00:53,441.5,442.0,442.0,-7.00,2,343
09:00:53,442.0,442.5,442.0,-7.00,1,344
09:00:56,442.0,442.5,442.5,-6.50,1,345
09:01:00,442.0,442.5,442.5,-6.50,2,347
09:01:00,442.0,442.5,442.5,-6.50,6,353
09:01:03,442.0,443.0,443.0,-6.00,3,356
09:01:06,442.0,443.0,442.0,-7.00,1,357
09:01:07,442.0,443.0,442.0,-7.00,1,358
09:01:09,442.0,443.0,443.0,-6.00,10,368
09:01:19,443.0,443.5,443.0,-6.00,1,369
09:01:21,443.0,443.5,443.5,-5.50,1,370
09:01:25,443.0,443.5,443.5,-5.50,1,371
09:01:26,443.0,443.5,443.5,-5.50,1,372
09:01:26,443.0,444.0,443.5,-5.50,1,373
09:01:35,443.5,444.0,444.0,-5.00,1,374
09:01:38,443.5,444.0,444.0,-5.00,1,375
09:01:41,443.5,444.0,444.0,-5.00,1,376
09:01:43,443.5,444.0,444.0,-5.00,2,378
09:01:44,443.5,444.5,444.0,-5.00,1,379
09:01:46,444.0,444.5,444.0,-5.00,1,380
09:01:50,444.0,444.5,444.5,-4.50,1,381
09:01:51,444.0,444.5,444.5,-4.50,1,382
09:01:58,444.0,444.5,444.5,-4.50,1,383
09:01:58,444.0,444.5,444.0,-5.00,1,384
09:01:58,444.0,444.5,444.5,-4.50,1,385
09:02:01,444.0,444.5,444.5,-4.50,1,386
09:02:01,444.0,444.5,444.0,-5.00,2,388
09:02:02,444.0,444.5,444.5,-4.50,1,389
09:02:03,444.0,444.5,444.5,-4.50,8,397
09:02:03,444.5,445.0,444.5,-4.50,1,398
09:02:03,444.5,445.0,444.5,-4.50,1,399
09:02:03,444.0,445.0,444.5,-4.50,1,400
09:02:05,444.0,444.5,444.0,-5.00,6,406
09:02:05,444.0,444.5,444.0,-5.00,3,409
09:02:05,444.0,444.5,444.0,-5.00,3,412
09:02:05,444.0,444.5,444.0,-5.00,1,413
09:02:07,443.5,444.5,443.5,-5.50,2,415
09:02:07,443.5,444.5,443.5,-5.50,7,422
09:02:07,443.0,444.5,443.5,-5.50,1,423
09:02:08,443.0,444.0,443.0,-6.00,2,425
09:02:08,443.0,443.5,443.0,-6.00,1,426
09:02:09,443.0,443.5,443.0,-6.00,2,428
09:02:09,443.0,443.5,443.5,-5.50,1,429
09:02:09,443.0,443.5,443.0,-6.00,1,430
09:02:10,442.5,443.5,442.5,-6.50,3,433
09:02:11,442.5,443.5,442.5,-6.50,1,434
09:02:11,442.5,443.5,443.0,-6.00,1,435
09:02:11,442.5,443.5,442.5,-6.50,17,452
09:02:12,442.0,443.0,443.0,-6.00,1,453
09:02:12,442.0,443.0,442.0,-7.00,2,455
09:02:12,442.0,443.0,442.0,-7.00,2,457
09:02:13,442.0,443.0,442.0,-7.00,5,462
09:02:13,442.0,443.0,442.0,-7.00,3,465
09:02:13,442.0,443.0,443.0,-6.00,1,466
09:02:13,442.0,443.0,442.0,-7.00,3,469
09:02:13,442.0,442.5,442.0,-7.00,1,470
09:02:13,442.0,442.5,442.0,-7.00,13,483
09:02:13,442.0,442.5,442.0,-7.00,3,486
09:02:14,441.5,442.5,441.5,-7.50,4,490
09:02:15,441.5,442.5,441.5,-7.50,1,491
09:02:15,441.5,442.5,441.5,-7.50,6,497
09:02:16,441.5,442.5,441.5,-7.50,5,502
09:02:16,441.0,442.5,441.0,-8.00,1,503
09:02:16,441.0,442.0,441.0,-8.00,2,505
09:02:17,441.0,442.0,441.0,-8.00,4,509
09:02:17,441.0,442.0,441.5,-7.50,1,510
09:02:17,441.0,442.0,441.0,-8.00,2,512
09:02:17,441.0,442.0,441.5,-7.50,1,513
09:02:18,441.0,442.0,441.0,-8.00,2,515
09:02:18,441.0,442.0,441.0,-8.00,2,517
09:02:18,441.0,442.0,441.5,-7.50,1,518
09:02:19,441.0,442.0,442.0,-7.00,1,519
09:02:19,441.0,442.0,441.0,-8.00,2,521
09:02:20,441.0,442.0,441.0,-8.00,2,523
09:02:20,441.0,442.0,441.5,-7.50,1,524
09:02:20,441.0,442.0,441.0,-8.00,2,526
09:02:20,441.0,442.0,441.0,-8.00,2,528
09:02:22,441.0,442.0,442.0,-7.00,2,530
09:02:22,441.0,442.0,441.0,-8.00,1,531
09:02:23,441.0,442.0,441.5,-7.50,1,532
09:02:24,441.0,442.0,441.0,-8.00,2,534
09:02:25,441.0,442.0,441.0,-8.00,2,536
09:02:25,441.0,442.0,442.0,-7.00,13,549
09:02:25,441.5,442.0,441.5,-7.50,1,550
09:02:25,441.0,442.0,441.0,-8.00,2,552
09:02:25,441.0,442.0,442.0,-7.00,1,553
09:02:26,441.0,442.0,441.0,-8.00,1,554
09:02:28,441.5,442.0,441.5,-7.50,1,555
09:02:32,441.5,442.0,442.0,-7.00,11,566
09:02:38,441.5,442.5,442.5,-6.50,10,576
09:02:38,441.5,442.5,442.5,-6.50,9,585
09:02:38,441.5,443.0,442.0,-7.00,2,587
09:02:38,442.0,443.0,441.5,-7.50,1,588
09:02:41,441.5,443.0,441.5,-7.50,1,589
09:02:49,442.0,443.0,443.0,-6.00,1,590
09:02:54,442.0,443.0,443.0,-6.00,1,591
09:02:54,442.0,443.0,443.0,-6.00,1,592
09:02:57,443.0,443.5,443.0,-6.00,1,593
09:03:04,443.0,443.5,443.0,-6.00,1,594
09:03:04,443.0,443.5,443.0,-6.00,2,596
09:03:19,443.0,443.5,443.0,-6.00,2,598
09:03:20,443.0,443.5,443.0,-6.00,1,599
09:03:26,443.0,443.5,443.5,-5.50,1,600
09:03:31,443.0,443.5,443.5,-5.50,1,601
09:03:31,443.0,443.5,443.5,-5.50,3,604
09:03:34,443.5,444.0,443.5,-5.50,2,606
09:03:45,443.0,443.5,443.5,-5.50,1,607
09:03:45,443.0,443.5,443.5,-5.50,2,609
09:03:45,443.0,443.5,443.5,-5.50,6,615
09:03:58,443.5,444.0,444.0,-5.00,1,616
09:03:58,443.5,444.0,444.0,-5.00,5,621
09:03:58,443.5,444.5,443.5,-5.50,2,623
09:04:06,443.5,444.5,444.0,-5.00,1,624
09:04:14,444.0,444.5,444.0,-5.00,1,625
09:04:14,444.0,444.5,444.5,-4.50,1,626
09:04:20,444.0,444.5,444.5,-4.50,1,627
09:04:20,444.0,444.5,444.5,-4.50,1,628
09:04:24,444.0,444.5,444.5,-4.50,1,629
09:04:35,444.0,444.5,444.5,-4.50,1,630
09:04:36,444.0,444.5,444.5,-4.50,2,632
09:04:41,444.0,444.5,444.5,-4.50,1,633
09:04:45,444.0,444.5,444.5,-4.50,2,635
09:04:45,444.0,444.5,444.5,-4.50,1,636
09:04:48,444.0,444.5,444.5,-4.50,1,637
09:04:49,444.0,444.5,444.0,-5.00,2,639
09:04:52,444.0,444.5,444.5,-4.50,1,640
09:05:04,444.0,444.5,444.5,-4.50,2,642
09:05:08,444.0,444.5,444.5,-4.50,1,643
09:05:10,444.0,444.5,444.0,-5.00,16,659
09:05:10,443.5,444.0,444.0,-5.00,2,661
09:05:10,443.5,444.0,443.5,-5.50,1,662
09:05:11,443.5,444.0,443.5,-5.50,1,663
09:05:11,443.5,444.0,443.5,-5.50,1,664
09:05:11,443.5,444.0,443.5,-5.50,4,668
09:05:12,443.0,444.0,443.0,-6.00,1,669
09:05:12,443.0,444.0,443.0,-6.00,2,671
09:05:14,443.0,444.0,443.0,-6.00,1,672
09:05:14,443.0,444.0,443.0,-6.00,1,673
09:05:17,443.0,443.5,443.0,-6.00,5,678
09:05:18,442.5,443.5,442.5,-6.50,1,679
09:05:19,442.5,443.5,442.5,-6.50,2,681
09:05:23,442.5,443.5,443.5,-5.50,1,682
09:05:34,442.5,443.0,442.5,-6.50,1,683
09:05:44,442.5,443.0,443.0,-6.00,1,684
09:05:52,442.5,443.0,442.5,-6.50,1,685
09:05:54,442.5,443.0,442.5,-6.50,1,686
09:05:56,442.5,443.0,442.5,-6.50,1,687
09:05:57,442.5,443.0,442.5,-6.50,1,688
09:05:59,442.5,443.0,442.5,-6.50,2,690
09:05:59,442.5,443.0,442.5,-6.50,1,691
09:06:01,442.5,443.0,442.5,-6.50,1,692
09:06:02,442.5,443.0,443.0,-6.00,1,693
09:06:03,442.5,443.0,442.5,-6.50,1,694
09:06:03,442.5,443.0,442.5,-6.50,1,695
09:06:04,442.5,443.0,442.5,-6.50,1,696
09:06:04,442.5,443.0,442.5,-6.50,1,697
09:06:04,442.5,443.0,442.5,-6.50,1,698
09:06:04,442.5,443.0,442.5,-6.50,1,699
09:06:04,442.5,443.0,442.5,-6.50,1,700
09:06:05,442.0,443.0,442.0,-7.00,2,702
09:06:07,442.0,442.5,442.0,-7.00,1,703
09:06:07,442.0,442.5,442.5,-6.50,1,704
09:06:24,442.0,442.5,442.5,-6.50,1,705
09:06:25,442.0,442.5,442.0,-7.00,1,706
09:06:36,442.0,442.5,442.5,-6.50,1,707
09:06:44,442.0,442.5,442.5,-6.50,1,708
09:06:56,442.0,442.5,442.5,-6.50,5,713
09:06:57,442.0,442.5,442.0,-7.00,2,715
09:07:01,442.0,442.5,442.5,-6.50,1,716
09:07:02,442.0,442.5,442.0,-7.00,1,717
09:07:07,442.0,442.5,442.5,-6.50,2,719
09:07:08,442.0,442.5,442.0,-7.00,1,720
09:07:08,442.0,442.5,442.0,-7.00,1,721
09:07:12,442.0,442.5,442.5,-6.50,1,722
09:07:12,442.0,442.5,442.0,-7.00,1,723
09:07:13,442.0,442.5,442.5,-6.50,1,724
09:07:16,442.0,442.5,442.5,-6.50,3,727
09:07:16,442.0,442.5,442.0,-7.00,1,728
09:07:16,442.0,442.5,442.5,-6.50,1,729
09:07:17,442.0,442.5,442.5,-6.50,1,730
09:07:21,442.0,442.5,442.5,-6.50,2,732
09:07:22,442.0,442.5,442.5,-6.50,1,733
09:07:25,442.0,442.5,442.5,-6.50,1,734
09:07:26,442.0,442.5,442.5,-6.50,1,735
09:07:26,442.0,442.5,442.5,-6.50,1,736
09:07:28,442.0,442.5,442.5,-6.50,1,737
09:07:29,442.0,442.5,442.5,-6.50,1,738
09:07:31,442.0,442.5,442.5,-6.50,1,739
09:07:31,442.0,442.5,442.5,-6.50,1,740
