"Symb","Proportion","Ords","Buys","AtAsk","AtBid","NetPr","PremsChng","AExpD","OTM%","OTMSc","Unusual%","SpotChng","Ivol%"
"SPY","57%","2840","52.2","191.46M","172.59M","18.87M","-186.9%","27.6","52.2%","2.1","0.8","0","21.46"
"IWM","74%","264","62.1","33.35M","16.52M","16.83M","100.0%","46.9","62.1%","4.7","1.0","0","24.97"
"MSFT","52%","150","60.7","17.60M","6.58M","11.02M","-379.3%","80.2","60.7%","3.6","0.5","0","28.35"
"QQQ","65%","1015","57.6","59.25M","48.79M","10.46M","49.2%","35.2","57.6%","3.6","0.9","0","27.85"
"AAPL","46%","312","57.4","12.77M","8.54M","4.23M","100.0%","48.4","57.4%","2.4","1.2","0","29.46"
"TSLA","39%","2423","53.5","123.61M","120.09M","3.51M","32.0%","19.4","53.3%","5.3","1.0","0","78.89"
"ARKK","63%","105","62.9","6.56M","3.24M","3.31M","100.0%","28.1","62.9%","1.2","2.1","0","55.69"
"SI","42%","45","57.8","4.13M","894.26K","3.24M","-2686.2%","55.6","57.8%","16.1","2.1","0","203.56"
"NFLX","47%","47","51.1","5.95M","3.00M","2.95M","-17.9%","41.4","51.1%","5.5","0.5","0","41.93"
"META","48%","136","50.0","7.68M","4.79M","2.89M","-89.0%","51.6","50.0%","1.4","0.5","0","42.99"
"SHOP","55%","127","59.8","6.46M","3.73M","2.73M","-489.8%","76.3","55.9%","1.6","5.2","0","73.78"
"AMD","56%","174","54.6","9.58M","7.02M","2.55M","-142.2%","97.8","54.6%","6.3","1.4","0","46.92"
"COIN","24%","70","68.6","4.55M","2.26M","2.29M","-177.4%","41.7","68.6%","22","0.7","0","149.41"
"NVDA","52%","313","49.8","18.40M","16.47M","1.93M","71.0%","28.2","49.8%","4.3","0.5","0","61.35"
"BA","45%","35","82.9","2.43M","490.74K","1.93M","-1175.7%","209.0","82.9%","9.2","1.3","0","34.35"
"DXC","100%","7","100.0","1.58M","0.00","1.58M","100.0%","120.0","100.0%","-0.5","7.0","0","38.48"
"KRE","33%","4","50.0","1.38M","211.70K","1.17M","-1349.8%","139.3","50.0%","0.8","0.6","0","23.81"
"WYNN","27%","26","80.8","1.36M","310.00K","1.05M","-459.1%","348.3","80.8%","28.4","3.1","0","40.37"
"ABNB","39%","76","51.3","3.35M","2.35M","995.20K","2.3%","51.8","51.3%","7","1.7","0","53.22"
"GOOGL","34%","95","68.4","4.12M","3.21M","915.59K","72.4%","93.4","67.4%","9.5","0.5","0","34.42"
"ETSY","64%","18","72.2","1.22M","312.48K","906.77K","-273.7%","81.9","72.2%","7.7","5.4","0","73.51"
