時間,買價,賣價,成交,漲跌,單量,累計
09:00:02,,,1970,-10.00,31,31
09:00:12,1965,1970,1970,-10.00,1,32
09:00:15,1965,1970,1970,-10.00,1,33
09:00:17,1965,1970,1965,-15.00,5,38
09:00:22,1960,1970,1970,-10.00,2,40
09:00:26,1960,1970,1970,-10.00,1,41
09:00:26,1960,1970,1960,-20.00,2,43
09:00:32,1960,1965,1960,-20.00,2,45
09:00:36,1955,1960,1960,-20.00,1,46
09:00:42,1960,1965,1960,-20.00,1,47
09:00:47,1955,1965,1965,-15.00,1,48
09:00:53,1960,1965,1960,-20.00,1,49
09:00:57,1960,1965,1960,-20.00,1,50
09:00:57,1960,1965,1965,-15.00,1,51
09:01:00,1960,1965,1960,-20.00,1,52
09:01:02,1960,1965,1960,-20.00,1,53
09:01:17,1960,1965,1965,-15.00,1,54
09:01:24,1960,1965,1965,-15.00,1,55
09:01:24,1960,1965,1960,-20.00,1,56
09:01:25,1960,1965,1965,-15.00,1,57
09:01:32,1960,1965,1965,-15.00,1,58
09:01:34,1960,1965,1965,-15.00,1,59
09:01:44,1960,1965,1965,-15.00,1,60
09:01:45,1960,1965,1965,-15.00,1,61
09:01:48,1960,1965,1965,-15.00,1,62
09:02:01,1965,1970,1965,-15.00,1,63
09:02:14,1965,1970,1970,-10.00,1,64
09:02:14,1965,1970,1970,-10.00,1,65
09:02:18,1965,1970,1970,-10.00,1,66
09:02:18,1965,1970,1970,-10.00,1,67
09:02:18,1965,1970,1970,-10.00,1,68
09:02:18,1965,1970,1970,-10.00,1,69
09:02:24,1970,1975,1970,-10.00,1,70
09:02:25,1970,1975,1970,-10.00,1,71
09:02:32,1970,1975,1970,-10.00,1,72
09:02:48,1970,1975,1975,-5.00,1,73
09:02:51,1970,1975,1975,-5.00,1,74
09:02:56,1970,1975,1975,-5.00,1,75
09:03:01,1970,1975,1975,-5.00,1,76
09:03:04,1970,1975,1975,-5.00,1,77
09:03:06,1970,1975,1975,-5.00,6,83
09:03:08,1970,1975,1975,-5.00,1,84
09:03:11,1970,1975,1975,-5.00,1,85
09:03:13,1970,1975,1975,-5.00,1,86
09:03:15,1970,1975,1975,-5.00,1,87
09:03:16,1970,1980,1980,0.00,1,88
09:03:22,1970,1975,1975,-5.00,1,89
09:03:22,1970,1980,1975,-5.00,1,90
09:03:22,1970,1980,1975,-5.00,1,91
09:03:24,1970,1980,1980,0.00,1,92
09:03:27,1975,1980,1975,-5.00,1,93
09:03:33,1975,1980,1975,-5.00,1,94
09:03:34,1975,1980,1975,-5.00,1,95
09:03:55,1975,1980,1980,0.00,1,96
09:03:58,1975,1980,1980,0.00,1,97
09:04:00,1975,1980,1980,0.00,1,98
09:04:00,1975,1980,1980,0.00,2,100
09:04:01,1975,1980,1980,0.00,1,101
09:04:03,1975,1980,1980,0.00,1,102
